Fielding start,Fielding end,Politician,State,Demographic,Sample size,Margin of error,Approve,Disapprove,Net Approval
01/21/2021,03/31/2021,Joe Biden,Alabama,Registered Voters,4536,0.01,0.4,0.52,-0.12
01/21/2021,03/31/2021,Joe Biden,Alaska,Registered Voters,434,0.05,0.47,0.41,0.06
01/21/2021,03/31/2021,Joe Biden,Arizona,Registered Voters,6100,0.01,0.51,0.43,0.07
01/21/2021,03/31/2021,Joe Biden,Arkansas,Registered Voters,2526,0.02,0.4,0.52,-0.13
01/21/2021,03/31/2021,Joe Biden,California,Registered Voters,21919,0.01,0.64,0.29,0.35
01/21/2021,03/31/2021,Joe Biden,Colorado,Registered Voters,4351,0.01,0.57,0.38,0.2
01/21/2021,03/31/2021,Joe Biden,Connecticut,Registered Voters,4091,0.02,0.6,0.34,0.26
01/21/2021,03/31/2021,Joe Biden,Delaware,Registered Voters,1349,0.03,0.62,0.32,0.31
01/21/2021,03/31/2021,Joe Biden,District of Columbia,Registered Voters,504,0.04,0.8,0.15,0.65
01/21/2021,03/31/2021,Joe Biden,Florida,Registered Voters,23492,0.01,0.51,0.42,0.09
01/21/2021,03/31/2021,Joe Biden,Georgia,Registered Voters,9900,0.01,0.53,0.41,0.12
01/21/2021,03/31/2021,Joe Biden,Hawaii,Registered Voters,1024,0.03,0.6,0.25,0.35
01/21/2021,03/31/2021,Joe Biden,Idaho,Registered Voters,1234,0.03,0.39,0.56,-0.17
01/21/2021,03/31/2021,Joe Biden,Illinois,Registered Voters,11943,0.01,0.58,0.36,0.22
01/21/2021,03/31/2021,Joe Biden,Indiana,Registered Voters,6351,0.01,0.43,0.5,-0.06
01/21/2021,03/31/2021,Joe Biden,Iowa,Registered Voters,2875,0.02,0.48,0.46,0.02
01/21/2021,03/31/2021,Joe Biden,Kansas,Registered Voters,2323,0.02,0.46,0.47,-0.02
01/21/2021,03/31/2021,Joe Biden,Kentucky,Registered Voters,5023,0.01,0.4,0.52,-0.12
01/21/2021,03/31/2021,Joe Biden,Louisiana,Registered Voters,3213,0.02,0.47,0.47,0
01/21/2021,03/31/2021,Joe Biden,Maine,Registered Voters,1646,0.02,0.53,0.41,0.12
01/21/2021,03/31/2021,Joe Biden,Maryland,Registered Voters,5369,0.01,0.66,0.28,0.38
01/21/2021,03/31/2021,Joe Biden,Massachusetts,Registered Voters,6599,0.01,0.65,0.29,0.36
01/21/2021,03/31/2021,Joe Biden,Michigan,Registered Voters,10522,0.01,0.52,0.41,0.11
01/21/2021,03/31/2021,Joe Biden,Minnesota,Registered Voters,4968,0.01,0.54,0.4,0.14
01/21/2021,03/31/2021,Joe Biden,Mississippi,Registered Voters,2010,0.02,0.46,0.46,0
01/21/2021,03/31/2021,Joe Biden,Missouri,Registered Voters,6220,0.01,0.45,0.48,-0.02
01/21/2021,03/31/2021,Joe Biden,Montana,Registered Voters,778,0.04,0.42,0.52,-0.1
01/21/2021,03/31/2021,Joe Biden,Nebraska,Registered Voters,1739,0.02,0.4,0.54,-0.14
01/21/2021,03/31/2021,Joe Biden,Nevada,Registered Voters,2970,0.02,0.52,0.42,0.11
01/21/2021,03/31/2021,Joe Biden,New Hampshire,Registered Voters,1659,0.02,0.52,0.43,0.09
01/21/2021,03/31/2021,Joe Biden,New Jersey,Registered Voters,9544,0.01,0.59,0.35,0.24
01/21/2021,03/31/2021,Joe Biden,New Mexico,Registered Voters,1263,0.03,0.58,0.37,0.21
01/21/2021,03/31/2021,Joe Biden,New York,Registered Voters,22158,0.01,0.62,0.31,0.3
01/21/2021,03/31/2021,Joe Biden,North Carolina,Registered Voters,10557,0.01,0.5,0.43,0.07
01/21/2021,03/31/2021,Joe Biden,North Dakota,Registered Voters,588,0.04,0.4,0.52,-0.11
01/21/2021,03/31/2021,Joe Biden,Ohio,Registered Voters,13422,0.01,0.48,0.45,0.03
01/21/2021,03/31/2021,Joe Biden,Oklahoma,Registered Voters,3157,0.02,0.36,0.56,-0.19
01/21/2021,03/31/2021,Joe Biden,Oregon,Registered Voters,3560,0.02,0.57,0.36,0.21
01/21/2021,03/31/2021,Joe Biden,Pennsylvania,Registered Voters,15095,0.01,0.52,0.43,0.09
01/21/2021,03/31/2021,Joe Biden,Rhode Island,Registered Voters,1138,0.03,0.58,0.37,0.22
01/21/2021,03/31/2021,Joe Biden,South Carolina,Registered Voters,5403,0.01,0.46,0.47,-0.01
01/21/2021,03/31/2021,Joe Biden,South Dakota,Registered Voters,804,0.03,0.39,0.57,-0.18
01/21/2021,03/31/2021,Joe Biden,Tennessee,Registered Voters,6600,0.01,0.42,0.52,-0.1
01/21/2021,03/31/2021,Joe Biden,Texas,Registered Voters,17506,0.01,0.49,0.43,0.06
01/21/2021,03/31/2021,Joe Biden,Utah,Registered Voters,1702,0.02,0.45,0.47,-0.02
01/21/2021,03/31/2021,Joe Biden,Vermont,Registered Voters,600,0.04,0.66,0.26,0.4
01/21/2021,03/31/2021,Joe Biden,Virginia,Registered Voters,7934,0.01,0.56,0.38,0.18
01/21/2021,03/31/2021,Joe Biden,Washington,Registered Voters,5545,0.01,0.6,0.35,0.25
01/21/2021,03/31/2021,Joe Biden,West Virginia,Registered Voters,2057,0.02,0.33,0.59,-0.27
01/21/2021,03/31/2021,Joe Biden,Wisconsin,Registered Voters,6456,0.01,0.51,0.44,0.07
01/21/2021,03/31/2021,Joe Biden,Wyoming,Registered Voters,449,0.05,0.3,0.67,-0.37
04/01/2021,06/30/2021,Joe Biden,Alabama,Registered Voters,6161,0.01,0.4,0.55,-0.15
04/01/2021,06/30/2021,Joe Biden,Alaska,Registered Voters,558,0.04,0.42,0.52,-0.11
04/01/2021,06/30/2021,Joe Biden,Arizona,Registered Voters,9369,0.01,0.5,0.47,0.03
04/01/2021,06/30/2021,Joe Biden,Arkansas,Registered Voters,3483,0.02,0.38,0.57,-0.19
04/01/2021,06/30/2021,Joe Biden,California,Registered Voters,30565,0.01,0.64,0.32,0.32
04/01/2021,06/30/2021,Joe Biden,Colorado,Registered Voters,6291,0.01,0.57,0.39,0.18
04/01/2021,06/30/2021,Joe Biden,Connecticut,Registered Voters,5251,0.01,0.58,0.37,0.21
04/01/2021,06/30/2021,Joe Biden,Delaware,Registered Voters,1860,0.02,0.6,0.36,0.24
04/01/2021,06/30/2021,Joe Biden,District of Columbia,Registered Voters,722,0.04,0.82,0.14,0.68
04/01/2021,06/30/2021,Joe Biden,Florida,Registered Voters,35212,0.01,0.51,0.45,0.06
04/01/2021,06/30/2021,Joe Biden,Georgia,Registered Voters,13131,0.01,0.51,0.44,0.07
04/01/2021,06/30/2021,Joe Biden,Hawaii,Registered Voters,1618,0.02,0.6,0.34,0.26
04/01/2021,06/30/2021,Joe Biden,Idaho,Registered Voters,1712,0.02,0.39,0.57,-0.18
04/01/2021,06/30/2021,Joe Biden,Illinois,Registered Voters,16280,0.01,0.58,0.38,0.2
04/01/2021,06/30/2021,Joe Biden,Indiana,Registered Voters,8644,0.01,0.44,0.52,-0.08
04/01/2021,06/30/2021,Joe Biden,Iowa,Registered Voters,3573,0.02,0.47,0.49,-0.02
04/01/2021,06/30/2021,Joe Biden,Kansas,Registered Voters,3161,0.02,0.43,0.54,-0.11
04/01/2021,06/30/2021,Joe Biden,Kentucky,Registered Voters,6855,0.01,0.41,0.55,-0.14
04/01/2021,06/30/2021,Joe Biden,Louisiana,Registered Voters,4532,0.01,0.46,0.49,-0.03
04/01/2021,06/30/2021,Joe Biden,Maine,Registered Voters,2183,0.02,0.54,0.43,0.11
04/01/2021,06/30/2021,Joe Biden,Maryland,Registered Voters,7045,0.01,0.65,0.3,0.35
04/01/2021,06/30/2021,Joe Biden,Massachusetts,Registered Voters,8631,0.01,0.63,0.33,0.3
04/01/2021,06/30/2021,Joe Biden,Michigan,Registered Voters,13820,0.01,0.52,0.44,0.08
04/01/2021,06/30/2021,Joe Biden,Minnesota,Registered Voters,7003,0.01,0.53,0.43,0.11
04/01/2021,06/30/2021,Joe Biden,Mississippi,Registered Voters,2791,0.02,0.42,0.52,-0.11
04/01/2021,06/30/2021,Joe Biden,Missouri,Registered Voters,8240,0.01,0.44,0.51,-0.07
04/01/2021,06/30/2021,Joe Biden,Montana,Registered Voters,1131,0.03,0.4,0.55,-0.15
04/01/2021,06/30/2021,Joe Biden,Nebraska,Registered Voters,2434,0.02,0.39,0.57,-0.18
04/01/2021,06/30/2021,Joe Biden,Nevada,Registered Voters,4406,0.01,0.52,0.45,0.07
04/01/2021,06/30/2021,Joe Biden,New Hampshire,Registered Voters,2136,0.02,0.51,0.46,0.05
04/01/2021,06/30/2021,Joe Biden,New Jersey,Registered Voters,12482,0.01,0.59,0.37,0.22
04/01/2021,06/30/2021,Joe Biden,New Mexico,Registered Voters,1799,0.02,0.58,0.39,0.2
04/01/2021,06/30/2021,Joe Biden,New York,Registered Voters,29616,0.01,0.62,0.34,0.29
04/01/2021,06/30/2021,Joe Biden,North Carolina,Registered Voters,13910,0.01,0.5,0.46,0.04
04/01/2021,06/30/2021,Joe Biden,North Dakota,Registered Voters,852,0.03,0.34,0.62,-0.28
04/01/2021,06/30/2021,Joe Biden,Ohio,Registered Voters,17824,0.01,0.48,0.48,-0.01
04/01/2021,06/30/2021,Joe Biden,Oklahoma,Registered Voters,4704,0.01,0.35,0.59,-0.24
04/01/2021,06/30/2021,Joe Biden,Oregon,Registered Voters,4771,0.01,0.56,0.4,0.16
04/01/2021,06/30/2021,Joe Biden,Pennsylvania,Registered Voters,19982,0.01,0.51,0.45,0.06
04/01/2021,06/30/2021,Joe Biden,Rhode Island,Registered Voters,1557,0.02,0.6,0.36,0.24
04/01/2021,06/30/2021,Joe Biden,South Carolina,Registered Voters,7179,0.01,0.46,0.5,-0.04
04/01/2021,06/30/2021,Joe Biden,South Dakota,Registered Voters,1050,0.03,0.36,0.59,-0.23
04/01/2021,06/30/2021,Joe Biden,Tennessee,Registered Voters,8815,0.01,0.42,0.54,-0.11
04/01/2021,06/30/2021,Joe Biden,Texas,Registered Voters,26333,0.01,0.48,0.47,0.02
04/01/2021,06/30/2021,Joe Biden,Utah,Registered Voters,2562,0.02,0.43,0.53,-0.1
