Fielding start,Fielding end,State,Politician,Demographic,Sample size,Margin of error,Approve,Disapprove,Net Approval
01/21/2021,03/31/2021,Alabama,Kay Ivey,Registered Voters,4536,0.01,0.68,0.25,0.43
01/21/2021,03/31/2021,Alaska,Michael Dunleavy,Registered Voters,434,0.05,0.49,0.37,0.12
01/21/2021,03/31/2021,Arizona,Doug Ducey,Registered Voters,6100,0.01,0.43,0.48,-0.06
01/21/2021,03/31/2021,Arkansas,Asa Hutchinson,Registered Voters,2526,0.02,0.6,0.31,0.28
01/21/2021,03/31/2021,California,Gavin Newsom,Registered Voters,21919,0.01,0.49,0.42,0.07
01/21/2021,03/31/2021,Colorado,Jared Polis,Registered Voters,4351,0.01,0.57,0.33,0.24
01/21/2021,03/31/2021,Connecticut,Ned Lamont,Registered Voters,4092,0.02,0.65,0.27,0.38
01/21/2021,03/31/2021,Delaware,John Carney,Registered Voters,1349,0.03,0.61,0.29,0.32
01/21/2021,03/31/2021,Florida,Ron DeSantis,Registered Voters,23492,0.01,0.54,0.38,0.16
01/21/2021,03/31/2021,Georgia,Brian Kemp,Registered Voters,9901,0.01,0.47,0.43,0.05
01/21/2021,03/31/2021,Hawaii,David Ige,Registered Voters,1024,0.03,0.4,0.53,-0.13
01/21/2021,03/31/2021,Idaho,Brad Little,Registered Voters,1234,0.03,0.56,0.35,0.22
01/21/2021,03/31/2021,Illinois,JB Pritzker,Registered Voters,11944,0.01,0.5,0.44,0.06
01/21/2021,03/31/2021,Indiana,Eric Holcomb,Registered Voters,6351,0.01,0.63,0.26,0.37
01/21/2021,03/31/2021,Iowa,Kim Reynolds,Registered Voters,2875,0.02,0.48,0.46,0.02
01/21/2021,03/31/2021,Kansas,Laura Kelly,Registered Voters,2323,0.02,0.58,0.32,0.26
01/21/2021,03/31/2021,Kentucky,Andy Beshear,Registered Voters,5023,0.01,0.58,0.37,0.21
01/21/2021,03/31/2021,Louisiana,John Bel Edwards,Registered Voters,3213,0.02,0.59,0.34,0.25
01/21/2021,03/31/2021,Maine,Janet Mills,Registered Voters,1646,0.02,0.56,0.39,0.17
01/21/2021,03/31/2021,Maryland,Larry Hogan,Registered Voters,5369,0.01,0.76,0.18,0.58
01/21/2021,03/31/2021,Massachusetts,Charlie Baker,Registered Voters,6599,0.01,0.7,0.24,0.46
01/21/2021,03/31/2021,Michigan,Gretchen Whitmer,Registered Voters,10522,0.01,0.54,0.42,0.12
01/21/2021,03/31/2021,Minnesota,Tim Walz,Registered Voters,4968,0.01,0.55,0.39,0.16
01/21/2021,03/31/2021,Mississippi,Tate Reeves,Registered Voters,2010,0.02,0.52,0.35,0.16
01/21/2021,03/31/2021,Missouri,Mike Parson,Registered Voters,6220,0.01,0.52,0.35,0.18
01/21/2021,03/31/2021,Montana,Greg Gianforte,Registered Voters,778,0.04,0.53,0.38,0.15
01/21/2021,03/31/2021,Nebraska,Pete Ricketts,Registered Voters,1739,0.02,0.53,0.41,0.12
01/21/2021,03/31/2021,Nevada,Steve Sisolak,Registered Voters,2970,0.02,0.52,0.42,0.1
01/21/2021,03/31/2021,New Hampshire,Chris Sununu,Registered Voters,1659,0.02,0.71,0.22,0.49
01/21/2021,03/31/2021,New Jersey,Philip Murphy,Registered Voters,9545,0.01,0.55,0.36,0.19
01/21/2021,03/31/2021,New Mexico,Michelle Lujan Grisham,Registered Voters,1263,0.03,0.54,0.37,0.18
01/21/2021,03/31/2021,New York,Andrew Cuomo,Registered Voters,22158,0.01,0.53,0.42,0.11
01/21/2021,03/31/2021,North Carolina,Roy Cooper III,Registered Voters,10557,0.01,0.54,0.37,0.17
01/21/2021,03/31/2021,North Dakota,Doug Burgum,Registered Voters,588,0.04,0.63,0.28,0.34
01/21/2021,03/31/2021,Ohio,Mike DeWine,Registered Voters,13422,0.01,0.66,0.28,0.38
01/21/2021,03/31/2021,Oklahoma,Kevin Stitt,Registered Voters,3157,0.02,0.54,0.33,0.2
01/21/2021,03/31/2021,Oregon,Kate Brown,Registered Voters,3560,0.02,0.45,0.5,-0.05
01/21/2021,03/31/2021,Pennsylvania,Tom Wolf,Registered Voters,15096,0.01,0.46,0.47,-0.01
01/21/2021,03/31/2021,Rhode Island,Dan McKee,Registered Voters,320,0.05,0.55,0.09,0.46
01/21/2021,03/31/2021,South Carolina,Henry McMaster,Registered Voters,5403,0.01,0.54,0.34,0.19
01/21/2021,03/31/2021,South Dakota,Kristi Noem,Registered Voters,804,0.03,0.56,0.41,0.15
01/21/2021,03/31/2021,Tennessee,Bill Lee,Registered Voters,6600,0.01,0.59,0.29,0.3
01/21/2021,03/31/2021,Texas,Gregory Abbott,Registered Voters,17506,0.01,0.56,0.35,0.21
01/21/2021,03/31/2021,Utah,Spencer Cox,Registered Voters,1702,0.02,0.66,0.15,0.51
01/21/2021,03/31/2021,Vermont,Phil Scott,Registered Voters,600,0.04,0.84,0.13,0.71
01/21/2021,03/31/2021,Virginia,Ralph Northam,Registered Voters,7936,0.01,0.53,0.38,0.16
01/21/2021,03/31/2021,Washington,Jay Inslee,Registered Voters,5545,0.01,0.56,0.38,0.18
01/21/2021,03/31/2021,West Virginia,Jim Justice,Registered Voters,2057,0.02,0.65,0.29,0.35
01/21/2021,03/31/2021,Wisconsin,Tony Evers,Registered Voters,6456,0.01,0.48,0.45,0.03
01/21/2021,03/31/2021,Wyoming,Mark Gordon,Registered Voters,449,0.05,0.68,0.26,0.42
04/01/2021,06/30/2021,Alabama,Kay Ivey,Registered Voters,6161,0.01,0.66,0.26,0.4
04/01/2021,06/30/2021,Alaska,Michael Dunleavy,Registered Voters,558,0.04,0.57,0.3,0.27
04/01/2021,06/30/2021,Arizona,Doug Ducey,Registered Voters,9369,0.01,0.46,0.46,0.01
04/01/2021,06/30/2021,Arkansas,Asa Hutchinson,Registered Voters,3483,0.02,0.6,0.31,0.29
04/01/2021,06/30/2021,California,Gavin Newsom,Registered Voters,30565,0.01,0.52,0.39,0.13
04/01/2021,06/30/2021,Colorado,Jared Polis,Registered Voters,6291,0.01,0.58,0.33,0.25
04/01/2021,06/30/2021,Connecticut,Ned Lamont,Registered Voters,5251,0.01,0.65,0.28,0.37
04/01/2021,06/30/2021,Delaware,John Carney,Registered Voters,1860,0.02,0.61,0.28,0.33
04/01/2021,06/30/2021,Florida,Ron DeSantis,Registered Voters,35212,0.01,0.56,0.36,0.2
04/01/2021,06/30/2021,Georgia,Brian Kemp,Registered Voters,13131,0.01,0.5,0.41,0.09
04/01/2021,06/30/2021,Hawaii,David Ige,Registered Voters,1618,0.02,0.42,0.49,-0.06
04/01/2021,06/30/2021,Idaho,Brad Little,Registered Voters,1712,0.02,0.61,0.32,0.3
04/01/2021,06/30/2021,Illinois,JB Pritzker,Registered Voters,16280,0.01,0.5,0.43,0.07
04/01/2021,06/30/2021,Indiana,Eric Holcomb,Registered Voters,8644,0.01,0.62,0.27,0.35
04/01/2021,06/30/2021,Iowa,Kim Reynolds,Registered Voters,3573,0.02,0.49,0.44,0.05
04/01/2021,06/30/2021,Kansas,Laura Kelly,Registered Voters,3161,0.02,0.54,0.37,0.17
04/01/2021,06/30/2021,Kentucky,Andy Beshear,Registered Voters,6855,0.01,0.58,0.37,0.2
04/01/2021,06/30/2021,Louisiana,John Bel Edwards,Registered Voters,4532,0.01,0.55,0.38,0.17
04/01/2021,06/30/2021,Maine,Janet Mills,Registered Voters,2183,0.02,0.59,0.37,0.22
04/01/2021,06/30/2021,Maryland,Larry Hogan,Registered Voters,7045,0.01,0.73,0.2,0.54
04/01/2021,06/30/2021,Massachusetts,Charlie Baker,Registered Voters,8630,0.01,0.72,0.21,0.51
04/01/2021,06/30/2021,Michigan,Gretchen Whitmer,Registered Voters,13820,0.01,0.52,0.44,0.08
04/01/2021,06/30/2021,Minnesota,Tim Walz,Registered Voters,7003,0.01,0.55,0.39,0.15
04/01/2021,06/30/2021,Mississippi,Tate Reeves,Registered Voters,2791,0.02,0.52,0.36,0.16
04/01/2021,06/30/2021,Missouri,Mike Parson,Registered Voters,8240,0.01,0.53,0.34,0.19
04/01/2021,06/30/2021,Montana,Greg Gianforte,Registered Voters,1131,0.03,0.59,0.31,0.28
04/01/2021,06/30/2021,Nebraska,Pete Ricketts,Registered Voters,2434,0.02,0.54,0.39,0.15
04/01/2021,06/30/2021,Nevada,Steve Sisolak,Registered Voters,4406,0.01,0.54,0.39,0.15
04/01/2021,06/30/2021,New Hampshire,Chris Sununu,Registered Voters,2136,0.02,0.72,0.22,0.5
04/01/2021,06/30/2021,New Jersey,Philip Murphy,Registered Voters,12482,0.01,0.58,0.36,0.22
04/01/2021,06/30/2021,New York,Andrew Cuomo,Registered Voters,29616,0.01,0.53,0.42,0.11
04/01/2021,06/30/2021,New Mexico,Michelle Lujan Grisham,Registered Voters,1799,0.02,0.57,0.37,0.2
04/01/2021,06/30/2021,North Carolina,Roy Cooper III,Registered Voters,13910,0.01,0.55,0.35,0.19
04/01/2021,06/30/2021,North Dakota,Doug Burgum,Registered Voters,852,0.03,0.57,0.34,0.23
04/01/2021,06/30/2021,Ohio,Mike DeWine,Registered Voters,17824,0.01,0.66,0.28,0.37
04/01/2021,06/30/2021,Oklahoma,Kevin Stitt,Registered Voters,4704,0.01,0.58,0.31,0.27
04/01/2021,06/30/2021,Oregon,Kate Brown,Registered Voters,4771,0.01,0.42,0.53,-0.11
04/01/2021,06/30/2021,Pennsylvania,Tom Wolf,Registered Voters,19982,0.01,0.47,0.46,0.01
04/01/2021,06/30/2021,Rhode Island,Dan McKee,Registered Voters,1557,0.02,0.59,0.18,0.41
04/01/2021,06/30/2021,South Carolina,Henry McMaster,Registered Voters,7179,0.01,0.56,0.34,0.22
04/01/2021,06/30/2021,South Dakota,Kristi Noem,Registered Voters,1050,0.03,0.59,0.38,0.21
04/01/2021,06/30/2021,Tennessee,Bill Lee,Registered Voters,8815,0.01,0.6,0.3,0.3
04/01/2021,06/30/2021,Texas,Gregory Abbott,Registered Voters,26333,0.01,0.55,0.38,0.16
04/01/2021,06/30/2021,Utah,Spencer Cox,Registered Voters,2562,0.02,0.64,0.21,0.43
04/01/2021,06/30/2021,Vermont,Phil Scott,Registered Voters,859,0.03,0.81,0.16,0.65
04/01/2021,06/30/2021,Virginia,Ralph Northam,Registered Voters,10661,0.01,0.53,0.39,0.14
04/01/2021,06/30/2021,Washington,Jay Inslee,Registered Voters,7463,0.01,0.54,0.41,0.13
04/01/2021,06/30/2021,West Virginia,Jim Justice,Registered Voters,2569,0.02,0.66,0.28,0.38
04/01/2021,06/30/2021,Wisconsin,Tony Evers,Registered Voters,8830,0.01,0.48,0.45,0.03
04/01/2021,06/30/2021,Wyoming,Mark Gordon,Registered Voters,623,0.04,0.68,0.22,0.47
07/01/2021,09/30/2021,Alabama,Kay Ivey,Registered Voters,8446,0.01,0.62,0.31,0.31
